,selected_model,mean_accuracy
0,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=2,
              n_estimators=25, random_state=97, subsample=0.8,
              use_label_encoder=False)",0.5178217821782178
1,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=2,
              n_estimators=25, random_state=93, subsample=0.8,
              use_label_encoder=False)",0.5158415841584159
2,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=2,
              n_estimators=25, random_state=88, subsample=0.8,
              use_label_encoder=False)",0.5346534653465346
3,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=2, n_estimators=25,
              random_state=89, subsample=0.8, use_label_encoder=False)",0.5158415841584159
4,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=2,
              n_estimators=25, random_state=94, subsample=0.8,
              use_label_encoder=False)",0.5118811881188119
5,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=2,
              n_estimators=50, random_state=7, subsample=0.8,
              use_label_encoder=False)",0.5128712871287128
6,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=2,
              n_estimators=50, random_state=19, subsample=0.8,
              use_label_encoder=False)",0.5247524752475247
7,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=2,
              n_estimators=50, random_state=89, subsample=0.8,
              use_label_encoder=False)",0.5267326732673266
8,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=2, n_estimators=50,
              random_state=75, subsample=0.8, use_label_encoder=False)",0.5287128712871288
9,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=2,
              n_estimators=50, random_state=97, subsample=0.8,
              use_label_encoder=False)",0.4990099009900991
10,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=2,
              random_state=11, subsample=0.8, use_label_encoder=False)",0.5207920792079207
11,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=2,
              random_state=34, subsample=0.8, use_label_encoder=False)",0.5237623762376238
12,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=2,
              random_state=72, subsample=0.8, use_label_encoder=False)",0.5277227722772277
13,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=2, random_state=74,
              subsample=0.8, use_label_encoder=False)",0.5227722772277229
14,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=2,
              random_state=40, subsample=0.8, use_label_encoder=False)",0.497029702970297
15,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=2,
              n_estimators=150, random_state=26, subsample=0.8,
              use_label_encoder=False)",0.5247524752475247
